City,Postal Code
Gornji Banjani,32306
Sjenica,36310
Gornji Barbeš,18241
Skela,11509
Gornji Breg,24406
Skobalj,11322
Gornji Brestovac,16244
Skorenovac,26228
Gornji Matejevac,18204
Slatina,32224
Gornji Stepoš,37221
Slatina,19324
Gornji Stupanj,37234
Slavkovica,14245
Gospođinci,21237
Šljivovica,31244
Gostilje,31313
Šljivovo,37239
Grabovac,11508
Slovac,14223
Grabovci,22423
Smederevska Palanka,11420
Gračanica,38205
Smederevo,11300
Gradina,18321
Smilovci,18323
Gradskovo,19205
Smoljinac,12312
Graševci,37229
Sočanica,38217
Grdelica,16220
Soko Banja,18230
Grebenac,26347
Sombor,25000
Gredetin,18213
Sonta,25264
Grejač,18219
Sopoćani,36308
Grgurevci,22213
Sopot,11450
Grlište,19342
Sot,22243
Grljan,19341
Sremska Mitrovica,22000
Grocka,11306
Srbobran,21480
Grosnica,34202
Srednjevo,12253
Gruza,34230
Sremski Mihaljevci,22413
Guberevac,34232
Sremčica,11253
Guča,32230
Sremska Kamenica,21208
Gudurica,26335
Sremska Rača,22247
Gunaroš,24312
Sremski Karlovci,21205
Guševac,18208
Srpska Crnja,23220
Hajdučica,26370
Srpski Itebej,23233
Hajdukovo,24414
Srpski Krstur,23334
Halovo,19236
Srpski Miletić,25244
Hetin,23235
Stajićevo,23204
Horgoš,24410
Stalać,37212
Horgoš Granični Prelaz,24411
Stanišić,25284
Hrtkovci,22427
Stapar,25240
Iđos,23323
Stara Moravica,24340
Idvor,26207
Stara Pazova,22300
Ilandža,26352
Starčevo,26232
Ilićevo,34203
Stari Žednik,24224
Ilinci,22250
Stari Banovci,22305
Inđija,22320
Stari Lec,26371
Irig,22406
Stari Ledinci,21206
Ivanjica,32250
Stari Slankamen,22329
Ivanovo,26233
Staro Selo,11324
Izbište,26343
Štavalj,36311
Jablanica,31314
Stave,14255
Jabučje,14226
Stejanovci,22405
Jabuka,26201
Stenjevac,35215
Jabuka,31306
Stepanovićevo,21212
Jabukovac,19304
Stepojevac,11564
Jadranska Lešnica,15308
Štitar,15354
Jagnjilo,11412
Stojnik,34307
Jagodina,35000
Stopanja,37242
Jakovo,11276
Stragari,34323
Jamena,22248
Straža,26345
Janošik,26362
Strelac,18332
Jarkovac,23250
Strižilo,35269
Jarmenovci,34318
Štrpce,38236
Jaša Tomić,23230
Stubal,17512
Jasenovo,35241
Štubik,19303
Jasenovo,26346
Stubline,11507
Jasenovo,31319
Studenica,36343
Jasika,37252
Subotica Kod Svilajnca,35209
Jazak,22409
Subotica,24000
Jazovo,23327
Subotinac,18227
Jelašnica,18206
Subotište,22414
Jelašnica,17531
Sukovo,18322
Jelen Do,31215
Sumrakovac,19376
Jelovik,34309
Supska,35228
Jermenovci,26363
Surčin,11271
Ježevica,32222
Surduk,22307
Ježevica,31213
Surdulica,17530
Jošanica,18234
Surjan,23254
Jošanička Banja,36345
Susek,21313
Jovac,35205
Sutjeska,23244
Jovanovac,34211
Suvi Do,12322
Jovanovac,18258
Sveti Ilija,17508
Jugbogdanovac,18253
Svetozar Miletić,25211
Junkovac,11562
Svilajnac,35210
Kać,21241
Svileuva,15221
Kačarevo,26212
Svilojevo,25265
Kajtasovo,26329
Svođe,16212
Kalna,19353
Svojnovo,35259
Kaluđerske Bare,31257
Svrljig,18360
Kaluđerica,11130
Takovo,32304
Kamenica,32206
Taraš,23209
Kamenica,15222
Tavankut,24214
Kamenica,14252
Tekeriš,15234
Kamenica,18324
Tekija,19325
Kanjiža,24420
Telečka,25222
Kaona,32234
Temerin,21235
Kaonik,37256
Temska,18355
Karađorđevo,21421
Tešica,18212
Karađorđevo,24308
Titel,21240
Karan,31204
Toba,23222
Karavukovo,25255
Tomaševac,23262
Karlovčić,22443
Topola,34310
Katun,18225
Topolovnik,12226
Kelebija,24104
Toponica,34243
Kelebija-granični prelaz,24205
Torda,23214
Kevi,24407
Tornjoš,24352
Kikinda,23300
Totovo Selo,24427
Kisač,21211
Tovariševo,21424
Kladovo,19320
Trbušani,32205
Klek,23211
Trešnjevac,24426
Klenak,22424
Trešnjevica,35248
Klenike,17524
Trgovište,17525
Klenje,12258
Trnava,32221
Klenje,15357
Trnavci,37235
Kličevac,12209
Trnjane,19306
Klisura,17535
Tršić,15303
Kljajićevo,25221
Trstenik,37240
Klokočevac,19222
Trupale,18211
Knić,34240
Tulare,16247
Knićanin,23265
Turekovac,16231
Knjaževac,19350
Turija,21215
Kobišnica,19316
Tutin,36320
Koceljeva,15220
Ub,14210
Kokin Brod,31318
Ugao,36313
Kolare,35242
Ugrinovci,32314
Kolari,11431
Ugrinovci,11277
Kolut,25274
Uljma,26330
Komirić,14254
Umčari,11430
Konak,23253
Umka,11260
Konarevo,36340
Urovica,19305
Končarevo,35219
Ušće,36342
Konjuh,37254
Utrine,24437
Kopaonik,36354
Uzdin,26216
Koprivnica,19223
Užice,31000
Koraćica,11415
Uzovnica,15319
Korbevac,17545
Velika Moštanica,11262
Korbovo,19329
Vajska,21426
Korenita,15302
Valjevo,14000
Korman,34224
Varda,31263
Korman,18216
Varna,15232
Kosovska Mitrovica,40000
Varvarin,37260
Kosančić,16206
Vasica,22241
Kosjerić,31260
Vasilj,19367
Kosovo Polje,38210
Vatin,26337
Kostojevići,31254
Velika Grabovnica,16221
Kostolac,12208
Velesnica,19328
Kotraža,32235
Velika Drenova,37245
Kovačevac,11409
Velika Greda,26366
Kovačica,26210
Velika Ivanča,11414
Kovilj,21243
Velika Jasikova,19235
Kovilje,32257
Velika Krsna,11408
Kovin,26220
Velika Lomnica,37209
Kragujevac,34000
Velika Plana,18403
Krajišnik,23231
Velika Plana,11320
Kraljevci,22411
Velika Reka,15322
Kraljevo,36000
Velika Vrbnica,37233
Krčedin,22325
Veliki Borak,11462
Kremna,31242
Veliki Crljeni,11563
Krepoljin,12316
Veliki Gaj,26365
Kriva Feja,17543
Veliki Izvor,19206
Kriva Reka,37282
Veliki Popović,35223
Krivaja,24341
Veliki Radinci,22211
Krivelj,19219
Veliki Siljegovac,37204
Krivi Vir,19375
Veliko Bonjince,18215
Krnješevci,22314
Veliko Golovode,37207
Krnjevo,11319
Veliko Gradište,12220
Krupač,18307
Veliko Krčmare,34214
Krupanj,15314
Veliko Laole,12306
Krušar,35227
Veliko Orašje,11323
Krusčić,25225
Veliko Selo,12314
Kruščica,26380
Veliko Središte,26334
Kruščica,31233
Venčane,34306
Krušedol,22328
Veternik,21203
Kruševac,37000
Vilovo,21246
Kruševica,18409
Vinča,11351
Kučevo,12240
Vinci,12229
Kucura,21466
Vionica,32254
Kukljin,37255
Višnjevac,24222
Kukujevci,22224
Višnjićevo,22246
Kula,25230
Visoka Rzana,18306
Kulina,18214
Vitanovac,36206
Kulpin,21472
Vitkovac,36207
Kumane,23271
Vitojevci,22431
Kupci,37222
Vitoševac,37213
Kupinik,26368
Vladičin Han,17510
Kupinovo,22419
Vladimirci,15225
Kupušina,25262
Vladimirovac,26315
Kuršumlijska Banja,18435
Vlajkovac,26332
Kuršumlija,18430
Vlase,17507
Kusadak,11425
Vlasina Okruglica,17532
Kusić,26349
Vlasina Rid,17533
Kušići,32258
Vlasina Stojkovićevo,17534
Kušiljevo,35226
Vlaška,11406
Kuštilj,26336
Vlaški Do,12371
Kuzmin,22223
Vlasotince,16210
Laćarak,22221
Vodanj,11328
Laćisled,37232
Voganj,22429
Lađevci,36204
Vojka,22313
Lajkovac,14224
Vojska,35208
Lalić,25234
Vojvoda Stepa,23219
Lalinac,18201
Vojvodinci,26338
Lapovo,34220
Voluja,12256
Lapovo Selo,34223
Vračev Gaj,26348
Lazarevac,11550
Vračevšnica,32315
Lazarevo,23241
Vranić,11427
Laznica,12321
Vranje,17500
Lebane,16230
Vranjska Banja,17542
Lece,16248
Vranovo,11329
Ledinci,21207
Vratarnica,19344
Lelić,14205
Vražogrnac,19312
Lenovac,19343
Vrba,36214
Lepenac,37224
Vrbas,21460
Lepenica,17513
Vrbica,23329
Leposavić,43500
Vrčin,11224
Lešak,38219
Vrdnik,22408
Leskovac,16000
Vreoci,11560
Lešnica,15307
Vrnjačka Banja,36210
Leštane,11309
Vrnjci,36217
Ležimir,22207
Vršac,26300
Lički Hanovi,18245
Vučje,16203
Lipar,25232
Vukovac,12318
Lipe,11310
Žabalj,21230
Lipolist,15305
Žabari,12374
Ljig,14240
Zablaće,32223
Ljuba,22255
Zabojnica,34244
Ljuberadja,18217
Zabrežje,11505
Ljubiš,31209
Žagubica,12320
Ljubovija,15320
Zajača,15315
Ljukovo,22321
Zaječar,19000
Ljutovo,24215
Zaplanjska Toponica,18244
Lok,21248
Zasavica,22201
Lokve,26361
Zavlaka,15312
Lovćenac,24322
Zdravinje,37203
Loznica,15300
Zemun,11080
Lozovik,11317
Žiča,36221
Lubnica,19208
Žirovnica,34229
Lučani,32240
Žitište,23210
Lug,21315
Žitkovac,18210
Lugavčina,11321
Žitni Potok,18407
Luka,19234
Žitorađa,18412
Lukare,36306
Zlatari,37228
Lukićevo,23261
Zlatibor,31315
Lukino Selo,23224
Zlatica,23255
Lukovo,18437
Zlodol,31253
Lukovo,19371
Zlot,19215
